"AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
232,176,194,149,115,256,217,0,218,0
90,0,0,0,34,0,15,0,0,0
26,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,26,148,18,0
12,0,0,0,0,27,29,12,12,0
33,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,40,0,0,0
0,0,65,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,46,0,0
41,17,25,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
544,46,0,0,0,0,0,0,0,0
125,0,0,0,29,0,0,28,0,0
36,0,0,0,0,0,0,0,0,0
23,0,0,0,22,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
0,0,0,19,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,24,0,0
48,0,54,0,0,28,37,0,0,0
0,22,0,0,0,0,0,28,0,0
0,0,0,0,0,25,0,0,0,0
0,0,0,0,0,0,0,17,0,0
0,0,0,24,27,0,0,0,0,0
0,0,0,0,0,34,0,0,0,0
19,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,18,0,0,0
0,0,0,0,12,0,0,0,0,0
0,0,0,0,0,0,38,0,0,0
0,0,0,29,0,0,0,0,0,0
0,0,0,0,0,0,16,0,0,0
109,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,36
0,0,0,0,0,0,0,0,20,0
339,0,0,0,19,0,57,0,0,0
348,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,14,0,0
0,0,0,10,0,0,0,0,0,0
0,0,0,0,166,0,0,0,0,0
0,0,61,0,39,0,0,25,0,0
0,0,44,51,0,0,0,28,0,0
80,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,39,0,0,0
0,0,0,0,18,0,0,0,0,0
0,0,0,0,0,261,0,0,0,0
19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19,0,0,0,53
0,0,0,0,0,0,0,69,0,0
0,0,0,0,0,0,0,0,18,0
0,0,0,0,0,112,63,0,0,0
0,0,0,282,0,0,0,0,0,0
0,0,0,0,0,222,27,0,0,0
26,0,0,0,0,0,0,0,0,0
22,0,0,0,15,0,0,0,0,0
0,0,0,0,0,0,0,23,0,0
0,9,0,0,0,0,10,0,0,0
45,0,0,0,0,286,0,0,0,40
0,0,0,0,78,0,0,0,0,0
0,0,0,99,0,0,135,0,0,0
787,0,0,0,0,0,0,0,0,0
225,0,94,0,0,0,0,0,0,0
0,0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,0,18,0,0
0,39,0,69,0,0,34,0,14,0
0,0,0,0,23,0,0,0,0,0
27,0,0,0,29,0,0,0,0,0
0,0,23,0,22,0,0,0,0,0
27,0,0,61,0,0,0,41,0,0
0,0,0,0,151,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
16,0,0,0,16,0,0,0,0,0
0,0,0,0,8,0,0,0,0,0
0,0,0,0,38,0,0,0,0,0
0,0,0,10,0,0,0,0,0,0
0,43,0,20,0,0,0,0,0,0
1276,0,144,167,107,0,44,0,0,0
0,0,120,0,0,0,18,0,0,0
0,0,0,0,0,0,8,0,0,0
0,0,64,0,37,0,63,61,0,0
148,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,23,0,0
0,13,0,0,0,0,0,0,0,0
0,0,0,0,0,17,0,0,0,0
29,0,0,0,0,0,0,0,0,0
0,0,0,0,161,0,0,0,0,0
712,114,120,18,88,0,93,430,282,0
0,0,0,0,0,32,0,0,0,0
14,0,0,0,0,0,0,0,0,0
0,0,0,0,36,0,0,0,0,0
31,0,0,0,33,0,0,11,0,0
0,32,0,20,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,25,0,0,0
0,0,0,0,31,0,0,0,0,0
0,0,0,0,0,0,0,42,0,0
0,0,7,165,0,109,0,28,22,90
0,20,0,131,0,0,0,0,0,125
0,543,55,298,0,334,0,274,181,272
0,0,0,138,0,0,0,0,0,100
0,0,0,0,0,126,0,0,0,738
0,44,0,55,0,0,0,0,0,0
0,84,0,0,0,0,0,14,0,0
0,0,244,0,18,0,0,0,48,0
4605,1804,838,0,27,0,265,737,0,140
556,0,0,0,430,0,0,0,0,0
702,0,0,1814,0,0,0,204,0,0
235,0,0,0,0,0,0,0,0,0
0,0,20,273,0,401,62,885,171,261
0,0,715,0,0,0,0,235,0,364
0,0,117,232,0,0,0,0,0,0
0,0,0,0,69,0,0,0,0,0
0,45,0,29,0,0,0,0,26,0
0,0,0,0,0,18,0,0,0,0
0,49,0,0,106,0,0,67,0,0
1030,0,369,45,0,0,445,0,0,0
0,51,86,0,0,99,0,0,0,0
0,151,0,209,0,0,0,0,0,314
0,0,45,0,5,0,0,0,0,0
64,0,129,0,0,0,0,0,0,0
0,0,0,104,0,0,0,57,0,0
0,0,0,18,0,22,0,41,0,0
0,0,0,0,19,0,0,0,0,0
0,0,0,37,0,0,15,0,0,0
40,14,0,214,11,0,0,42,0,0
0,0,0,0,0,0,0,0,15,18
0,0,0,6,0,0,0,0,0,0
0,0,17,0,0,0,0,0,0,0
0,0,0,0,0,0,14,0,0,0
65,28,0,149,0,0,0,0,0,0
0,0,0,76,0,0,0,0,0,0
0,0,0,0,0,0,0,26,0,0
0,0,0,0,0,0,0,150,0,0
57,0,0,0,0,0,0,0,0,0
0,0,0,126,56,0,0,0,0,0
0,0,32,0,0,0,0,0,0,0
0,0,0,0,0,229,71,0,0,0
47,0,0,0,21,0,0,0,0,0
0,0,0,0,0,0,23,0,0,0
0,0,0,0,10,0,0,0,0,0
0,0,0,0,0,0,0,0,0,19
8,0,0,4,0,0,0,0,0,0
0,48,0,56,0,13,0,0,0,0
0,0,0,0,0,0,0,51,0,0
21,40,0,79,14,131,0,29,0,0
0,0,0,0,0,53,0,0,0,0
0,0,25,0,0,0,12,0,0,0
0,0,0,0,6,5,23,10,0,0
25,14,30,15,0,0,0,50,0,0
21,8,8,15,6,25,7,9,36,62
0,0,4,0,0,0,0,0,0,0
0,0,13,0,0,0,21,0,0,0
0,0,0,0,0,0,0,18,0,0
11,0,6,6,0,0,0,22,0,6
0,0,27,0,0,290,0,0,68,112
0,0,0,0,0,0,0,16,0,0
0,19,125,0,0,0,0,0,0,0
0,0,0,0,32,0,0,0,0,0
0,1438,0,0,0,0,0,0,0,0
0,1214,0,0,0,0,0,0,0,0
12,198,0,0,0,0,30,52,0,29
