"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1eaf7a705bf5eb63b62b5f1e1384249e","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"06a393c94e2fb89dc126fa9ac56a7145","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"2594fcf48955bec7b61a5ce4aefa3868","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"cee9ade29a61d7669cc2710549611c53","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"936c787df149d8c679376a68663afb0d","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","haematophila"
"5483c27bcc0abe1d80c2a6517a362553","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","haematophila"
"00643fa760e63a22a56833ae5b0440c5","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"0211764ca9ba93886a8b6730c172cfdd","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas","arsenicoxydans"
"a2e0f228d7110587954e13405f98f003","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"353a4a8ea3cd93cd612fa0150ba763e2","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",NA
"94650d81f3f14b948edfadca3ca7b166","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",NA
"a06f5fd3db9f925457a537135871f616","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","lividum"
"dd55670a7993a5317059df033d09d63f","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",NA
"3794c39f5fa4a37b52d248bfb3e95abf","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ralstonia",NA
"4af9a7f9c97084391a206b3c12768c12","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"bf9d2f2731ac624a32cc2d0ac7acdda6","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","formigenes"
"7c82a2ef7685c5c6dc3080f56033cee9","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","formigenes"
"084c0d9a1f286b398f1f09c47be62078","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",NA
"92f93c0c111acd3ee4c0676f9e5ec204","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"e3725750e68fdb5b06f3900e7e2ecea5","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylobacillus",NA
"dbf76c1b3ed4745cb94c15374d951beb","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"6026ccb430c75efa51404db1f6902cc7","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"306d425d43fecaddb4ea5af1cc34ef98","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium",NA
"f307aa8ff39ee31213f4d9e1bfce6dcb","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas",NA
"e3a4a62adc4e83c274978806164b474a","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas",NA
"6c75eac54f40df9a92c5c3d03472dd2e","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"c4a644de9f10c66fc5787c0e2d7be1c3","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"0e637c81e25ffbf7b7e68a8fbcc4f2ea","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"e7c178efdc52065292e8965aa8da1b86","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",NA
"ebff2b38d8f49145d669effd24baaaca","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"0b8fc569b2052ebd0bc0737f57bb48d3","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","[Chromatiaceae]","Alishewanella",NA
"ebc609db0f939ea749584b974d411502","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","stutzeri"
"86f04c5c81713db61f97bb53835f9189","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","stutzeri"
"088764d8589b20c4461df3ce11980d03","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","pseudoalcaligenes"
"b48a25941ae901a73b4a2830cc24b382","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"d284b92d7518959fe5d52aa45b687394","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"925e56c65cae6ca645de5b98f0dd5028","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","veronii"
"bb8cd42775d7feb5b54059f90e5ce9eb","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"8bc198e9628671dbd803649ca000e621","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"313ff9f5a805c6777206081ea4910b17","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","fragi"
"ad0afd7293b32bf565de97915ef4c20a","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","viridiflava"
"6cd33eedaf1b4c183ce5cc9e2f26986f","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","viridiflava"
"a1dabd1d0db4a5aacc72a9e57e5c2f0d","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","viridiflava"
"177e054ca065da0b9c896e1be4228b80","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","viridiflava"
"d56536a97c18adccf18eb08958d93345","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"691656f33e727f8857f5c9ee40ed05b1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","fragi"
"74ecd5b0c108233b2b362ab570984bd5","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","[Chromatiaceae]",NA,NA
"abec81d53c6c426cd891516757d93ae9","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"d9d0120f569d8e15590c6486f4ffed36","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter",NA
"50569633cbb1654d8b28051a9449f45b","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA
"fdd33be5e672e58289879fcadf515d78","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA
"f1705d1c79a357a31f43a0a98d6da9de","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Psychromonadaceae","Psychromonas",NA
"10a9a0887483597b71cffa08dcda40de","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
"33206a2306ca96922fed904661eff421","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","parahaemolyticus"
"f1da0f084f3e5b7957d11d01abe7013d","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",NA
"1986030e3c5cd5df6d869054bc96e536","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae"
"0f405ced7e3082bc039f03cdeb4c4453","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae"
"4c43e27f9e322a71a891d99891f8cb0e","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae"
